2019-03-25 09:43:46,460 :  程序退出
2019-03-26 16:28:53,717 :  启动登陆程序
2019-03-26 16:28:56,811 :  管理员账户验证成功
2019-03-26 16:28:56,825 :  admin账号登陆成功
2019-03-26 16:29:04,027 :  程序退出
2019-03-26 16:29:11,706 :  启动登陆程序
2019-03-26 16:29:38,443 :  user账号登陆成功
2019-03-26 16:29:52,248 :  编辑......
2019-03-26 16:29:53,619 :  保存成功
2019-03-26 16:29:54,168 :  编辑......
2019-03-26 16:29:54,973 :  保存成功
2019-03-26 16:30:05,481 :  编辑......
2019-03-26 16:30:10,448 :  保存成功
2019-03-26 16:30:31,486 :  程序退出
2019-03-26 16:30:38,070 :  启动登陆程序
2019-03-26 16:30:43,102 :  管理员账户验证成功
2019-03-26 16:30:43,113 :  admin账号登陆成功
2019-03-26 16:30:46,236 :  程序退出
2019-03-27 17:34:57,037 :  启动登陆程序
2019-03-27 17:35:02,344 :  管理员账户验证成功
2019-03-27 17:35:02,355 :  admin账号登陆成功
2019-03-27 17:35:07,153 :  程序退出
2019-04-12 18:29:53,620 :  启动登陆程序
2019-05-06 14:47:04,347 :  启动登陆程序
2019-05-06 14:47:08,076 :  管理员账户验证成功
2019-05-06 14:47:08,087 :  admin账号登陆成功
2019-05-06 14:47:12,296 :  编辑......
2019-05-06 14:47:13,781 :  保存成功
2019-05-06 14:47:22,839 :  程序退出
2019-05-06 15:44:40,331 :  启动登陆程序
2019-05-06 15:44:43,272 :  管理员账户验证成功
2019-05-06 15:44:43,283 :  admin账号登陆成功
2019-05-06 15:44:46,689 :  程序退出
